,Student,M1,T1,W1,TH1,F1,M2,T2,W2,TH2,F2,M3,T3,W3,TH3,F3,M4,T4,W4,TH4,F4,M5,T5,W5,TH5,F5,M6,T6,W6,TH6,F6,M7,T7,W7,TH7,F7
186,187,1,2,3,4,5,5,5,6,6,7,5,6,6,7,7,4,5,6,7,7,6,7,7,7,7,1,2,3,4,5,5,5,5,5,5
187,188,3,4,5,6,7,3,4,5,6,7,1,2,3,4,5,1,2,3,4,5,4,5,6,7,7,5,5,6,7,8,8,7,9,9,10
188,189,5,5,5,6,7,4,5,6,6,7,1,2,3,4,5,5,6,7,7,7,5,6,7,7,7,2,3,4,5,6,5,5,6,6,6
189,190,3,4,5,6,7,1,2,3,4,5,5,6,6,7,7,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,5,4,4,4,5
190,191,1,2,3,4,5,1,2,3,4,5,4,5,6,7,7,4,5,6,7,7,1,2,3,4,5,5,6,6,7,8,8,8,8,8,9
191,192,4,5,5,6,7,2,3,4,5,6,4,5,6,7,7,2,3,4,5,6,1,2,3,4,5,3,4,5,6,7,7,6,7,6,8
192,193,3,4,5,6,7,1,2,3,4,5,3,4,5,6,7,1,2,3,4,5,2,3,4,5,6,6,6,6,7,8,8,7,9,8,10
193,194,3,4,5,6,7,5,5,6,6,7,2,3,4,5,6,5,6,7,7,7,5,6,7,7,7,4,5,6,7,8,7,7,8,8,9
194,195,2,3,4,5,6,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,1,2,3,4,5,3,4,5,6,7,7,6,7,7,8
195,196,5,5,5,6,7,5,5,6,6,7,1,2,3,4,5,4,5,6,7,7,6,7,7,7,7,6,6,6,7,8,7,7,9,9,10
196,197,2,3,4,5,6,4,5,6,6,7,5,6,6,7,7,6,6,7,7,7,2,3,4,5,6,4,5,6,7,8,8,8,8,8,9
197,198,5,5,5,6,7,4,5,6,6,7,4,5,6,7,7,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,5,4,5,4,5
198,199,4,5,5,6,7,1,2,3,4,5,5,6,6,7,7,2,3,4,5,6,3,4,5,6,7,4,5,6,7,8,8,7,8,8,9
199,200,1,2,3,4,5,1,2,3,4,5,3,4,5,6,7,6,6,7,7,7,4,5,6,7,7,1,2,3,4,5,4,4,4,4,5
200,201,2,3,4,5,6,3,4,5,6,7,2,3,4,5,6,5,6,7,7,7,1,2,3,4,5,2,3,4,5,6,5,5,5,5,6
201,202,5,5,5,6,7,3,4,5,6,7,5,6,6,7,7,3,4,5,6,7,1,2,3,4,5,1,2,3,4,5,5,4,4,4,5
202,203,4,5,5,6,7,4,5,6,6,7,1,2,3,4,5,6,6,7,7,7,5,6,7,7,7,6,6,6,7,8,7,7,8,9,9
203,204,5,5,5,6,7,4,5,6,6,7,3,4,5,6,7,1,2,3,4,5,6,7,7,7,7,6,6,6,7,8,8,8,9,9,10
204,205,4,5,5,6,7,4,5,6,6,7,4,5,6,7,7,6,6,7,7,7,2,3,4,5,6,4,5,6,7,8,8,7,8,8,9
205,206,1,2,3,4,5,2,3,4,5,6,5,6,6,7,7,5,6,7,7,7,1,2,3,4,5,5,6,6,7,8,8,8,8,8,9
206,207,4,5,5,6,7,1,2,3,4,5,1,2,3,4,5,6,6,7,7,7,2,3,4,5,6,4,5,6,7,8,7,7,8,8,9
207,208,3,4,5,6,7,3,4,5,6,7,2,3,4,5,6,5,6,7,7,7,6,7,7,7,7,4,5,6,7,8,7,7,8,8,9
208,209,4,5,5,6,7,5,5,6,6,7,4,5,6,7,7,5,6,7,7,7,5,6,7,7,7,6,6,6,7,8,8,8,8,9,9
209,210,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,4,5,6,7,7,1,2,3,4,5,1,2,3,4,5,4,4,4,4,5
210,211,5,5,5,6,7,2,3,4,5,6,3,4,5,6,7,5,6,7,7,7,3,4,5,6,7,2,3,4,5,6,5,4,5,5,6
211,212,3,4,5,6,7,2,3,4,5,6,3,4,5,6,7,2,3,4,5,6,3,4,5,6,7,5,5,6,7,8,8,7,9,8,10
212,213,1,2,3,4,5,2,3,4,5,6,4,5,6,7,7,5,6,7,7,7,3,4,5,6,7,2,3,4,5,6,5,5,6,6,7
213,214,2,3,4,5,6,2,3,4,5,6,5,6,6,7,7,5,6,7,7,7,1,2,3,4,5,2,3,4,5,6,6,5,5,5,6
214,215,5,5,5,6,7,5,5,6,6,7,5,6,6,7,7,6,6,7,7,7,5,6,7,7,7,5,6,6,7,8,7,8,8,8,9
215,216,3,4,5,6,7,4,5,6,6,7,1,2,3,4,5,6,6,7,7,7,5,6,7,7,7,4,5,6,7,8,7,7,8,9,9
216,217,2,3,4,5,6,3,4,5,6,7,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,6,6,6,7,8,8,8,9,8,10
217,218,4,5,5,6,7,2,3,4,5,6,2,3,4,5,6,5,6,7,7,7,5,6,7,7,7,1,2,3,4,5,4,3,4,4,5
218,219,5,5,5,6,7,1,2,3,4,5,4,5,6,7,7,6,6,7,7,7,2,3,4,5,6,5,6,6,7,8,8,7,8,8,9
219,220,5,5,5,6,7,3,4,5,6,7,4,5,6,7,7,4,5,6,7,7,4,5,6,7,7,3,4,5,6,7,6,6,7,7,8
220,221,3,4,5,6,7,3,4,5,6,7,3,4,5,6,7,1,2,3,4,5,3,4,5,6,7,6,5,6,7,8,8,8,9,8,10
221,222,1,2,3,4,5,5,5,6,6,7,4,5,6,7,7,3,4,5,6,7,2,3,4,5,6,4,5,6,7,8,8,8,8,9,10
222,223,2,3,4,5,6,2,3,4,5,6,4,5,6,7,7,4,5,6,7,7,6,7,7,7,7,4,5,6,7,8,8,7,9,9,10
223,224,5,5,5,6,7,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,3,4,5,6,7,1,2,3,4,5,4,3,5,4,5
224,225,4,5,5,6,7,4,5,6,6,7,1,2,3,4,5,1,2,3,4,5,3,4,5,6,7,2,3,4,5,6,5,5,6,6,7
225,226,3,4,5,6,7,2,3,4,5,6,2,3,4,5,6,1,2,3,4,5,4,5,6,7,7,4,5,6,7,8,8,7,9,8,10
226,227,2,3,4,5,6,5,5,6,6,7,2,3,4,5,6,5,6,7,7,7,2,3,4,5,6,4,5,6,7,8,8,8,8,8,9
227,228,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,4,5,6,7,7,1,2,3,4,5,4,5,6,7,8,8,7,8,8,10
228,229,2,3,4,5,6,5,5,6,6,7,4,5,6,7,7,5,6,7,7,7,1,2,3,4,5,6,6,6,7,8,8,8,8,8,9
229,230,5,5,5,6,7,2,3,4,5,6,3,4,5,6,7,4,5,6,7,7,2,3,4,5,6,1,2,3,4,5,4,3,4,4,5
230,231,3,4,5,6,7,3,4,5,6,7,2,3,4,5,6,1,2,3,4,5,6,7,7,7,7,3,4,5,6,7,6,6,8,7,9
231,232,4,5,5,6,7,2,3,4,5,6,2,3,4,5,6,4,5,6,7,7,2,3,4,5,6,4,5,6,7,8,8,7,8,8,9
232,233,1,2,3,4,5,1,2,3,4,5,2,3,4,5,6,3,4,5,6,7,1,2,3,4,5,2,3,4,5,6,6,5,6,6,7
233,234,4,5,5,6,7,1,2,3,4,5,4,5,6,7,7,1,2,3,4,5,5,6,7,7,7,2,3,4,5,6,6,5,6,6,7
234,235,3,4,5,6,7,1,2,3,4,5,4,5,6,7,7,1,2,3,4,5,5,6,7,7,7,6,6,6,7,8,8,7,9,9,10
235,236,3,4,5,6,7,5,5,6,6,7,1,2,3,4,5,1,2,3,4,5,3,4,5,6,7,4,5,6,7,8,8,8,9,9,10
236,237,4,5,5,6,7,2,3,4,5,6,4,5,6,7,7,3,4,5,6,7,6,7,7,7,7,1,2,3,4,5,4,4,5,4,5
237,238,4,5,5,6,7,3,4,5,6,7,5,6,6,7,7,1,2,3,4,5,1,2,3,4,5,2,3,4,5,6,6,5,6,5,6
238,239,3,4,5,6,7,1,2,3,4,5,2,3,4,5,6,5,6,7,7,7,5,6,7,7,7,5,6,6,7,8,7,7,8,8,9
239,240,4,5,5,6,7,1,2,3,4,5,5,6,6,7,7,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,5,4,4,4,5
240,241,3,4,5,6,7,2,3,4,5,6,4,5,6,7,7,4,5,6,7,7,1,2,3,4,5,6,6,6,7,8,8,7,8,8,9
241,242,1,2,3,4,5,1,2,3,4,5,5,6,6,7,7,2,3,4,5,6,6,7,7,7,7,6,6,6,7,8,8,8,9,9,10
242,243,5,5,5,6,7,4,5,6,6,7,5,6,6,7,7,4,5,6,7,7,4,5,6,7,7,1,2,3,4,5,4,4,4,4,5
243,244,2,3,4,5,6,2,3,4,5,6,5,6,6,7,7,6,6,7,7,7,5,6,7,7,7,5,6,6,7,8,8,7,8,8,10
244,245,5,5,5,6,7,3,4,5,6,7,3,4,5,6,7,2,3,4,5,6,5,6,7,7,7,6,6,6,7,8,8,7,9,9,10
245,246,5,5,5,6,7,2,3,4,5,6,5,6,6,7,7,3,4,5,6,7,3,4,5,6,7,4,5,6,7,8,8,7,8,8,9
246,247,5,5,5,6,7,1,2,3,4,5,1,2,3,4,5,5,6,7,7,7,4,5,6,7,7,4,5,6,7,8,7,7,8,8,9
247,248,3,4,5,6,7,1,2,3,4,5,4,5,6,7,7,3,4,5,6,7,1,2,3,4,5,5,6,6,7,8,8,7,8,8,9
248,249,2,3,4,5,6,3,4,5,6,7,3,4,5,6,7,5,6,7,7,7,1,2,3,4,5,6,6,6,7,8,8,7,8,8,9
249,250,2,3,4,5,6,3,4,5,6,7,2,3,4,5,6,5,6,7,7,7,6,7,7,7,7,1,2,3,4,5,4,4,5,5,5
250,251,3,4,5,6,7,2,3,4,5,6,2,3,4,5,6,5,6,7,7,7,6,7,7,7,7,3,4,5,6,7,6,6,7,7,8
251,252,2,3,4,5,6,3,4,5,6,7,2,3,4,5,6,5,6,7,7,7,1,2,3,4,5,3,4,5,6,7,6,6,7,7,8
252,253,1,2,3,4,5,4,5,6,6,7,5,6,6,7,7,6,6,7,7,7,5,6,7,7,7,4,5,6,7,8,8,8,8,9,10
253,254,3,4,5,6,7,2,3,4,5,6,2,3,4,5,6,4,5,6,7,7,5,6,7,7,7,3,4,5,6,7,6,6,7,7,8
254,255,4,5,5,6,7,4,5,6,6,7,4,5,6,7,7,2,3,4,5,6,4,5,6,7,7,4,5,6,7,8,8,8,9,8,10
255,256,1,2,3,4,5,3,4,5,6,7,1,2,3,4,5,5,6,7,7,7,5,6,7,7,7,4,5,6,7,8,7,7,8,9,10
256,257,5,5,5,6,7,1,2,3,4,5,5,6,6,7,7,6,6,7,7,7,3,4,5,6,7,3,4,5,6,7,6,6,6,6,7
257,258,4,5,5,6,7,2,3,4,5,6,4,5,6,7,7,2,3,4,5,6,6,7,7,7,7,6,6,6,7,8,8,7,9,9,10
258,259,4,5,5,6,7,1,2,3,4,5,4,5,6,7,7,6,6,7,7,7,1,2,3,4,5,6,6,6,7,8,8,7,8,8,9
259,260,2,3,4,5,6,5,5,6,6,7,3,4,5,6,7,5,6,7,7,7,5,6,7,7,7,5,6,6,7,8,8,8,8,9,10
260,261,2,3,4,5,6,1,2,3,4,5,1,2,3,4,5,6,6,7,7,7,2,3,4,5,6,6,6,6,7,8,7,7,8,8,9
261,262,3,4,5,6,7,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,1,2,3,4,5,4,5,6,7,8,8,7,8,8,9
262,263,3,4,5,6,7,1,2,3,4,5,5,6,6,7,7,3,4,5,6,7,1,2,3,4,5,3,4,5,6,7,7,6,7,6,7
263,264,3,4,5,6,7,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,2,3,4,5,6,3,4,5,6,7,7,6,7,7,8
264,265,5,5,5,6,7,2,3,4,5,6,4,5,6,7,7,6,6,7,7,7,4,5,6,7,7,5,6,6,7,8,7,7,8,8,9
265,266,4,5,5,6,7,1,2,3,4,5,5,6,6,7,7,5,6,7,7,7,5,6,7,7,7,6,6,6,7,8,8,7,8,8,9
266,267,5,5,5,6,7,4,5,6,6,7,1,2,3,4,5,3,4,5,6,7,6,7,7,7,7,5,6,6,7,8,7,7,9,9,10
267,268,1,2,3,4,5,5,5,6,6,7,5,6,6,7,7,3,4,5,6,7,1,2,3,4,5,6,6,6,7,8,8,9,8,9,10
268,269,2,3,4,5,6,5,5,6,6,7,4,5,6,7,7,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,6,6,6,6,7
269,270,1,2,3,4,5,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,3,4,5,6,7,7,6,7,7,8
270,271,4,5,5,6,7,1,2,3,4,5,4,5,6,7,7,6,6,7,7,7,2,3,4,5,6,3,4,5,6,7,6,6,6,6,7
271,272,5,5,5,6,7,1,2,3,4,5,4,5,6,7,7,6,6,7,7,7,5,6,7,7,7,1,2,3,4,5,4,3,4,4,5
272,273,5,5,5,6,7,2,3,4,5,6,1,2,3,4,5,1,2,3,4,5,4,5,6,7,7,4,5,6,7,8,7,7,9,8,10
273,274,2,3,4,5,6,2,3,4,5,6,4,5,6,7,7,6,6,7,7,7,6,7,7,7,7,2,3,4,5,6,5,5,6,6,7
274,275,5,5,5,6,7,4,5,6,6,7,4,5,6,7,7,3,4,5,6,7,2,3,4,5,6,6,6,6,7,8,8,8,8,8,9
275,276,2,3,4,5,6,3,4,5,6,7,1,2,3,4,5,3,4,5,6,7,5,6,7,7,7,3,4,5,6,7,6,6,7,7,9
276,277,3,4,5,6,7,2,3,4,5,6,3,4,5,6,7,4,5,6,7,7,3,4,5,6,7,5,5,6,7,8,8,7,8,8,9
277,278,2,3,4,5,6,4,5,6,6,7,2,3,4,5,6,6,6,7,7,7,3,4,5,6,7,6,6,6,7,8,8,8,8,9,9
278,279,2,3,4,5,6,4,5,6,6,7,2,3,4,5,6,6,6,7,7,7,6,7,7,7,7,5,6,6,7,8,7,8,9,9,10
279,280,5,5,5,6,7,4,5,6,6,7,3,4,5,6,7,4,5,6,7,7,5,6,7,7,7,6,6,6,7,8,8,7,9,9,10
280,281,2,3,4,5,6,3,4,5,6,7,3,4,5,6,7,1,2,3,4,5,4,5,6,7,7,3,4,5,6,7,7,7,8,7,9
281,282,5,5,5,6,7,2,3,4,5,6,5,6,6,7,7,3,4,5,6,7,2,3,4,5,6,4,5,6,7,8,8,7,8,8,9
282,283,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,5,6,7,7,7,2,3,4,5,6,1,2,3,4,5,4,4,4,4,5
283,284,1,2,3,4,5,2,3,4,5,6,4,5,6,7,7,1,2,3,4,5,3,4,5,6,7,2,3,4,5,6,6,5,6,6,7
284,285,4,5,5,6,7,3,4,5,6,7,4,5,6,7,7,1,2,3,4,5,2,3,4,5,6,6,6,6,7,8,8,8,9,8,10
285,286,1,2,3,4,5,5,5,6,6,7,2,3,4,5,6,6,6,7,7,7,4,5,6,7,7,2,3,4,5,6,5,5,6,6,7
286,287,2,3,4,5,6,5,5,6,6,7,2,3,4,5,6,1,2,3,4,5,5,6,7,7,7,3,4,5,6,7,7,7,8,8,9
287,288,3,4,5,6,7,1,2,3,4,5,2,3,4,5,6,5,6,7,7,7,2,3,4,5,6,6,6,6,7,8,8,7,8,8,9
288,289,4,5,5,6,7,5,5,6,6,7,1,2,3,4,5,6,6,7,7,7,1,2,3,4,5,2,3,4,5,6,5,5,5,5,6
289,290,5,5,5,6,7,1,2,3,4,5,3,4,5,6,7,1,2,3,4,5,1,2,3,4,5,2,3,4,5,6,6,5,6,5,6
290,291,1,2,3,4,5,4,5,6,6,7,2,3,4,5,6,4,5,6,7,7,2,3,4,5,6,5,6,6,7,8,8,8,8,9,10
291,292,5,5,5,6,7,1,2,3,4,5,3,4,5,6,7,3,4,5,6,7,6,7,7,7,7,1,2,3,4,5,4,4,5,4,5
292,293,2,3,4,5,6,2,3,4,5,6,4,5,6,7,7,2,3,4,5,6,1,2,3,4,5,3,4,5,6,7,7,6,7,7,8
293,294,1,2,3,4,5,2,3,4,5,6,4,5,6,7,7,1,2,3,4,5,4,5,6,7,7,6,6,6,7,8,8,8,9,9,10
294,295,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,2,3,4,5,6,5,6,7,7,7,5,6,6,7,8,8,8,9,9,10
295,296,2,3,4,5,6,5,5,6,6,7,2,3,4,5,6,3,4,5,6,7,3,4,5,6,7,4,6,6,7,8,8,8,8,9,10
296,297,3,4,5,6,7,5,5,6,6,7,3,4,5,6,7,6,6,7,7,7,6,7,7,7,7,3,4,5,6,7,6,6,7,7,8
297,298,5,5,5,6,7,3,4,5,6,7,1,2,3,4,5,5,6,7,7,7,1,2,3,4,5,2,3,4,5,6,5,4,5,5,6
298,299,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,3,4,5,6,7,6,6,6,7,8,8,8,9,9,10
299,300,1,2,3,4,5,2,3,4,5,6,5,6,6,7,7,5,6,7,7,7,3,4,5,6,7,1,2,3,4,5,4,4,4,4,5
300,301,4,5,5,6,7,2,3,4,5,6,2,3,4,5,6,4,5,6,7,7,1,2,3,4,5,3,4,5,6,7,6,6,6,6,8
301,302,1,2,3,4,5,5,5,6,6,7,3,4,5,6,7,4,5,6,7,7,6,7,7,7,7,2,3,4,5,6,6,6,6,6,7
302,303,4,5,5,6,7,2,3,4,5,6,3,4,5,6,7,3,4,5,6,7,1,2,3,4,5,3,4,5,6,7,7,6,7,6,8
303,304,3,4,5,6,7,1,2,3,4,5,3,4,5,6,7,4,5,6,7,7,4,5,6,7,7,4,5,6,7,8,8,7,8,8,9
304,305,5,5,5,6,7,1,2,3,4,5,4,5,6,7,7,2,3,4,5,6,3,4,5,6,7,1,2,3,4,5,5,4,4,4,5
305,306,3,4,5,6,7,1,2,3,4,5,4,5,6,7,7,2,3,4,5,6,4,5,6,7,7,5,5,6,7,8,8,7,9,8,10
306,307,3,4,5,6,7,1,2,3,4,5,4,5,6,7,7,1,2,3,4,5,4,5,6,7,7,3,4,5,6,7,7,6,7,7,8
307,308,1,2,3,4,5,3,4,5,6,7,2,3,4,5,6,6,6,7,7,7,5,6,7,7,7,3,4,5,6,7,6,6,7,7,9
308,309,1,2,3,4,5,1,2,3,4,5,5,6,6,7,7,6,6,7,7,7,6,7,7,7,7,3,4,5,6,7,6,6,7,7,8
309,310,3,4,5,6,7,4,5,6,6,7,3,4,5,6,7,4,5,6,7,7,6,7,7,7,7,4,5,6,7,8,8,7,9,9,10
310,311,4,5,5,6,7,5,5,6,6,7,5,6,6,7,7,3,4,5,6,7,3,4,5,6,7,6,6,6,7,8,8,8,8,8,9
311,312,2,3,4,5,6,2,3,4,5,6,1,2,3,4,5,4,5,6,7,7,1,2,3,4,5,6,6,6,7,8,8,7,8,8,9
312,313,2,3,4,5,6,1,2,3,4,5,4,5,6,7,7,5,6,7,7,7,3,4,5,6,7,6,6,6,7,8,8,7,8,8,9
313,314,1,2,3,4,5,4,5,6,6,7,1,2,3,4,5,4,5,6,7,7,5,6,7,7,7,4,5,6,7,8,8,8,9,9,10
314,315,5,5,5,6,7,1,2,3,4,5,5,6,6,7,7,4,5,6,7,7,4,5,6,7,7,2,3,4,5,6,5,5,5,5,6
315,316,1,2,3,4,5,1,2,3,4,5,3,4,5,6,7,5,6,7,7,7,3,4,5,6,7,2,3,4,5,6,5,5,6,6,7
316,317,1,2,3,4,5,3,4,5,6,7,3,4,5,6,7,2,3,4,5,6,1,2,3,4,5,2,3,4,5,6,6,6,6,6,7
317,318,1,2,3,4,5,5,5,6,6,7,3,4,5,6,7,1,2,3,4,5,1,2,3,4,5,3,4,5,6,7,7,7,8,8,9
318,319,3,4,5,6,7,1,2,3,4,5,5,6,6,7,7,5,6,7,7,7,1,2,3,4,5,5,6,6,7,8,8,7,7,8,9
319,320,3,4,5,6,7,3,4,5,6,7,5,6,6,7,7,6,6,7,7,7,3,4,5,6,7,5,5,6,7,8,8,7,8,8,9
320,321,5,5,5,6,7,5,5,6,6,7,1,2,3,4,5,6,6,7,7,7,5,6,7,7,7,2,3,4,5,6,5,5,5,6,6
321,322,5,5,5,6,7,1,2,3,4,5,4,5,6,7,7,4,5,6,7,7,3,4,5,6,7,6,6,6,7,8,8,7,8,8,9
322,323,5,5,5,6,7,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,6,7,7,7,7,2,3,4,5,6,5,5,6,6,7
323,324,2,3,4,5,6,5,5,6,6,7,3,4,5,6,7,4,5,6,7,7,3,4,5,6,7,4,6,6,7,8,8,8,8,8,10
324,325,5,5,5,6,7,4,5,6,6,7,3,4,5,6,7,5,6,7,7,7,3,4,5,6,7,6,6,6,7,8,8,7,8,8,9
325,326,4,5,5,6,7,4,5,6,6,7,1,2,3,4,5,5,6,7,7,7,3,4,5,6,7,5,6,6,7,8,7,7,8,8,9
326,327,3,4,5,6,7,5,5,6,6,7,5,6,6,7,7,4,5,6,7,7,3,4,5,6,7,1,2,3,4,5,5,4,4,4,5
327,328,2,3,4,5,6,1,2,3,4,5,3,4,5,6,7,5,6,7,7,7,3,4,5,6,7,2,3,4,5,6,5,5,5,5,6
328,329,5,5,5,6,7,1,2,3,4,5,2,3,4,5,6,3,4,5,6,7,2,3,4,5,6,1,2,3,4,5,4,3,4,4,5
329,330,5,5,5,6,7,3,4,5,6,7,2,3,4,5,6,4,5,6,7,7,5,6,7,7,7,2,3,4,5,6,5,5,6,5,7
330,331,3,4,5,6,7,5,5,6,6,7,5,6,6,7,7,3,4,5,6,7,2,3,4,5,6,2,3,4,5,6,6,5,5,5,6
331,332,2,3,4,5,6,3,4,5,6,7,5,6,6,7,7,1,2,3,4,5,6,7,7,7,7,4,5,6,7,8,8,8,9,9,10
332,333,3,4,5,6,7,3,4,5,6,7,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,3,4,5,6,7,7,6,7,7,8
333,334,2,3,4,5,6,4,5,6,6,7,1,2,3,4,5,4,5,6,7,7,1,2,3,4,5,2,3,4,5,6,5,5,5,5,6
334,335,2,3,4,5,6,4,5,6,6,7,3,4,5,6,7,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,6,6,6,6,7
335,336,2,3,4,5,6,4,5,6,6,7,4,5,6,7,7,4,5,6,7,7,6,7,7,7,7,2,3,4,5,6,6,5,6,6,7
336,337,5,5,5,6,7,3,4,5,6,7,3,4,5,6,7,1,2,3,4,5,3,4,5,6,7,3,4,5,6,7,7,6,7,7,8
337,338,3,4,5,6,7,2,3,4,5,6,4,5,6,7,7,2,3,4,5,6,4,5,6,7,7,5,6,6,7,8,8,7,9,8,10
338,339,5,5,5,6,7,5,5,6,6,7,4,5,6,7,7,5,6,7,7,7,5,6,7,7,7,1,2,3,4,5,4,4,4,4,5
339,340,5,5,5,6,7,1,2,3,4,5,3,4,5,6,7,1,2,3,4,5,3,4,5,6,7,1,2,3,4,5,4,4,5,4,5
340,341,4,5,5,6,7,3,4,5,6,7,1,2,3,4,5,6,6,7,7,7,1,2,3,4,5,1,2,3,4,5,4,3,4,4,4
341,342,5,5,5,6,7,2,3,4,5,6,3,4,5,6,7,3,4,5,6,7,6,7,7,7,7,5,6,6,7,8,8,7,9,9,10
342,343,3,4,5,6,7,1,2,3,4,5,5,6,6,7,7,3,4,5,6,7,6,7,7,7,7,4,5,6,7,8,8,7,9,8,9
343,344,1,2,3,4,5,4,5,6,6,7,1,2,3,4,5,4,5,6,7,7,5,6,7,7,7,6,6,6,7,8,8,8,9,9,10
344,345,5,5,5,6,7,3,4,5,6,7,1,2,3,4,5,5,6,7,7,7,2,3,4,5,6,4,5,6,7,8,7,7,8,8,9
345,346,1,2,3,4,5,4,5,6,6,7,1,2,3,4,5,3,4,5,6,7,4,5,6,7,7,4,5,6,7,8,8,8,9,9,10
346,347,3,4,5,6,7,5,5,6,6,7,3,4,5,6,7,5,6,7,7,7,6,7,7,7,7,1,2,3,4,5,4,4,5,4,5
347,348,4,5,5,6,7,5,5,6,6,7,5,6,6,7,7,6,6,7,7,7,4,5,6,7,7,2,3,4,5,6,5,5,5,5,6
348,349,1,2,3,4,5,1,2,3,4,5,4,5,6,7,7,4,5,6,7,7,4,5,6,7,7,3,4,5,6,7,7,6,7,7,8
349,350,5,5,5,6,7,4,5,6,6,7,5,6,6,7,7,2,3,4,5,6,3,4,5,6,7,3,4,5,6,7,7,6,7,7,8
350,351,5,5,5,6,7,4,5,6,6,7,5,6,6,7,7,1,2,3,4,5,4,5,6,7,7,2,3,4,5,6,6,5,6,6,7
351,352,4,5,5,6,7,3,4,5,6,7,2,3,4,5,6,4,5,6,7,7,5,6,7,7,7,4,5,6,7,8,7,7,8,8,10
352,353,2,3,4,5,6,3,4,5,6,7,4,5,6,7,7,6,6,7,7,7,1,2,3,4,5,3,4,5,6,7,7,6,6,7,8
353,354,3,4,5,6,7,5,5,6,6,7,3,4,5,6,7,5,6,7,7,7,5,6,7,7,7,2,3,4,5,6,5,5,6,6,7
354,355,5,5,5,6,7,2,3,4,5,6,5,6,6,7,7,4,5,6,7,7,4,5,6,7,7,6,6,6,7,8,8,7,8,8,9
355,356,3,4,5,6,7,3,4,5,6,7,4,5,6,7,7,6,6,7,7,7,6,7,7,7,7,5,6,6,7,8,7,7,8,9,9
356,357,1,2,3,4,5,2,3,4,5,6,3,4,5,6,7,4,5,6,7,7,4,5,6,7,7,1,2,3,4,5,4,4,5,4,6
357,358,3,4,5,6,7,2,3,4,5,6,1,2,3,4,5,1,2,3,4,5,3,4,5,6,7,4,5,6,7,8,8,7,9,8,10
358,359,4,5,5,6,7,2,3,4,5,6,1,2,3,4,5,3,4,5,6,7,4,5,6,7,7,5,6,6,7,8,7,7,8,8,10
359,360,5,5,5,6,7,1,2,3,4,5,1,2,3,4,5,5,6,7,7,7,1,2,3,4,5,2,3,4,5,6,5,4,5,5,6
360,361,5,5,5,6,7,5,5,6,6,7,4,5,6,7,7,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,5,4,5,4,5
361,362,1,2,3,4,5,3,4,5,6,7,3,4,5,6,7,5,6,7,7,7,6,7,7,7,7,4,5,6,7,8,7,8,9,9,10
362,363,2,3,4,5,6,3,4,5,6,7,4,5,6,7,7,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,6,5,6,6,7
363,364,5,5,5,6,7,3,4,5,6,7,1,2,3,4,5,6,6,7,7,7,6,7,7,7,7,4,5,6,7,8,7,7,8,8,9
364,365,3,4,5,6,7,3,4,5,6,7,3,4,5,6,7,5,6,7,7,7,5,6,7,7,7,2,3,4,5,6,5,5,6,5,7
365,366,1,2,3,4,5,1,2,3,4,5,4,5,6,7,7,4,5,6,7,7,1,2,3,4,5,1,2,3,4,5,5,4,4,4,5
366,367,1,2,3,4,5,3,4,5,6,7,4,5,6,7,7,5,6,7,7,7,3,4,5,6,7,1,2,3,4,5,4,4,4,4,5
367,368,1,2,3,4,5,3,4,5,6,7,3,4,5,6,7,4,5,6,7,7,4,5,6,7,7,6,6,6,7,8,8,8,9,9,10
368,369,4,5,5,6,7,1,2,3,4,5,5,6,6,7,7,5,6,7,7,7,5,6,7,7,7,4,5,6,7,8,7,7,8,8,9
369,370,1,2,3,4,5,4,5,6,6,7,5,6,6,7,7,1,2,3,4,5,6,7,7,7,7,5,6,6,7,8,8,8,10,9,10
370,371,1,2,3,4,5,5,5,6,6,7,5,6,6,7,7,6,6,7,7,7,2,3,4,5,6,4,5,6,7,8,8,8,8,9,9
371,372,1,2,3,4,5,3,4,5,6,7,1,2,3,4,5,5,6,7,7,7,3,4,5,6,7,2,3,4,5,6,5,5,6,6,7
372,373,4,5,5,6,7,3,4,5,6,7,2,3,4,5,6,2,3,4,5,6,1,2,3,4,5,1,2,3,4,5,4,4,4,4,5
